Nome Scuola,Città,Via,Numero Alunni,Valutazione Scuola
Liceo Scientifico Galileo Galilei,Roma,Via delle Scienze 12,850,4.5
Istituto Tecnico Industriale Enrico Fermi,Milano,Via dei Tecnici 25,1200,4.3
Liceo Classico Alessandro Manzoni,Napoli,Corso Umberto I 30,700,4.7
Istituto Professionale Luigi Einaudi,Torino,Via della Libertà 15,600,4.0
Liceo Artistico Artemisia Gentileschi,Firenze,Via delle Belle Arti 9,450,4.6
Istituto Tecnico Economico Giovanni Verga,Catania,Viale della Regione 8,800,4.2
Scuola Media Dante Alighieri,Verona,Via Dante 5,500,4.1
Istituto Comprensivo San Francesco,Palermo,Via dei Mille 3,900,4.4
Liceo Linguistico Maria Montessori,Bologna,Piazza della Cultura 20,1000,4.8
Istituto Agrario Giuseppe Garibaldi,Perugia,Via dei Campi 40,300,4.3
